TRIM40	9.99875015623047e-10
TBC1D2	9.99666777740753e-10
PPARA	9.9930048965724e-11
MFGE8	9.993004896572399e-10
ZNF318	9.992505620784413e-10
ZNF829	9.991008092716556e-10
PLAC4	9.991008092716554e-11
AMBN	9.99000999000999e-10
CDK4	9.99000999000999e-10
LRRC20	9.988162178159218e-10
KRI1	9.983361064891846e-10
TAS2R19	9.98003992015968e-10
EMILIN2	9.977550511349465e-10
TTC24	9.97506234413965e-10
ZNF37A	9.974465368656239e-10
ZDHHC1	9.972575417601596e-10
PARN	9.968985378821443e-10
USP32	9.962994591517222e-10
TBC1D10A	9.9626400996264e-10
SERTAD4	9.9601593625498e-10
PKN1	9.955201592832254e-10
AMTN	9.955201592832254e-10
GAS2L2	9.953550099535502e-10
KRTAP9-2	9.950248756218906e-10
TMEM14B	9.950248756218906e-10
TPCN2	9.948269001193793e-10
CCDC141	9.945919065083608e-10
AHCYL2	9.94431185361973e-10
CCDC116	9.940357852882703e-10
HABP2	9.940357852882703e-10
SEC16B	9.940357852882703e-10
ELANE	9.940357852882703e-10
ABCB6	9.940357852882703e-10
GABRB3	9.938711280437305e-10
BMPER	9.938382031405287e-10
FCRLA	9.93824093135515e-10
ANKRD24	9.935419771485345e-10
PLOD2	9.931719428926133e-10
SIGLEC11	9.930486593843099e-10
ESM1	9.930486593843099e-10
CELF4	9.929993545504196e-10
TMEM71	9.925558312655088e-10
PHGDH	9.925558312655088e-10
GPR162	9.925558312655088e-10
PLSCR3	9.925558312655088e-10
BOLA1	9.92391663910023e-10
NRK	9.923096005953857e-10
ATG5	9.922978783726314e-10
TATDN1	9.922275508516619e-10
RNFT1	9.92063492063492e-10
OR10R2	9.92063492063492e-10
SUSD1	9.918448313863789e-10
LRP6	9.91768322919766e-10
PTCH2	9.912030727295255e-10
PHF8	9.910802775024777e-10
MYL10	9.910802775024777e-10
FAM186B	9.910802775024777e-10
CAPNS2	9.910802775024777e-10
SLC30A1	9.910802775024777e-10
CHRNA1	9.908347783007183e-10
GNMT	9.907529722589166e-10
RCC2	9.907120743034056e-10
ADAM28	9.906482802345856e-10
ELMOD1	9.906439185470555e-10
EIF3L	9.905894006934125e-10
SAFB	9.905348888399737e-10
PHOX2B	9.9009900990099e-10
GGTLC1	9.9009900990099e-10
APPL1	9.9009900990099e-10
TRIM44	9.896091044037607e-10
KIAA1683	9.893643334157803e-10
TBX18	9.891196834817012e-10
UCHL3	9.891196834817012e-10
RTP4	9.891196834817012e-10
PPHLN1	9.891196834817012e-10
CHRNA2	9.889974038818149e-10
HIVEP3	9.888053112971007e-10
CCPG1	9.886796183696672e-10
USO1	9.885085876683553e-10
TRAIP	9.881422924901186e-10
DUSP1	9.881422924901186e-10
GUCA1A	9.876543209876543e-10
SAMD15	9.876543209876543e-10
WDR4	9.875149890667983e-10
TBL2	9.874917709019092e-10
NCR3	9.874917709019092e-10
TBC1D1	9.873130275953992e-10
TMEM165	9.869232667160128e-10
CTPS2	9.867609571581285e-10
TRAM1L1	9.86679822397632e-10
PDLIM5	9.86679822397632e-10
SGCZ	9.864017473402381e-10
STIL	9.86225714191788e-10
LYZL6	9.861932938856016e-10
VHLL	9.861932938856016e-10
GSK3B	9.861238289779532e-10
MYBL1	9.859988168014198e-10
THOC7	9.85869208018403e-10
MYCT1	9.85869208018403e-10
GPC6	9.856378484933822e-10
LRRTM3	9.856100926473486e-10
RNF213	9.85557787801827e-10
MICALCL	9.855453350854138e-10
ZNF174	9.854644000985464e-10
THSD7B	9.853834784036787e-10
NECAP2	9.853834784036787e-10
PPRC1	9.853511134467583e-10
FBXO3	9.852216748768472e-10
APC2	9.851246182642104e-11
SECISBP2L	9.84736582964057e-10
FIGN	9.845288326300984e-10
MOXD1	9.84251968503937e-10
FGF20	9.84251968503937e-10
OPRK1	9.84251968503937e-10
CTSA	9.840905363293422e-10
AFTPH	9.840098400984009e-10
DUSP22	9.839291571006886e-10
ROPN1L	9.83767830791933e-10
ITGAL	9.836710603974031e-10
ARHGAP11B	9.832841691248771e-10
DPP3	9.832841691248771e-10
IQSEC2	9.832036050798853e-10
AKT1S1	9.830908375933935e-10
KCNJ16	9.828311680334162e-10
C2CD3	9.828009828009828e-10
SYT14	9.828009828009828e-10
MACC1	9.827473247433938e-10
ADNP	9.825997952917093e-10
WFDC5	9.823182711198428e-10
ATP6AP2	9.823182711198428e-10
NCR1	9.823182711198428e-10
C5orf42	9.822305562996696e-10
KLHL23	9.8159509202454e-10
ECM2	9.815683280619478e-10
C7orf62	9.813542688910696e-10
BST2	9.813542688910696e-10
AFP	9.80872976949485e-10
SOX14	9.80872976949485e-10
CPT2	9.805523778395163e-10
C18orf8	9.804882831650161e-10
TSPAN19	9.803921568627451e-10
ELOVL4	9.803921568627451e-10
OR7E24	9.803921568627451e-10
NME6	9.80178610324548e-10
TIAL1	9.801300899937626e-10
CLCN3	9.80111896108139e-10
POT1	9.800558631842016e-10
TSPAN16	9.799118079372855e-10
EPS8	9.799118079372855e-10
ABAT	9.798798014110269e-10
KRTAP5-11	9.79431929480901e-10
MRPL50	9.79431929480901e-10
FAM69C	9.79431929480901e-10
PAMR1	9.7911227154047e-10
AEBP1	9.789525208027412e-10
OR7D4	9.784735812133071e-10
ZNF592	9.781146839466927e-10
MYOC	9.779951100244499e-10
CASP2	9.778357235984356e-10
HERC2	9.778357235984356e-10
FAM46D	9.778357235984356e-10
ZNF317	9.775967413441956e-10
CYSLTR2	9.775171065493647e-10
RAB25	9.775171065493647e-10
ZBTB26	9.775171065493647e-10
YBX1	9.775171065493647e-10
NFU1	9.771350400625367e-10
PREB	9.771191271069131e-10
KLK14	9.770395701025891e-10
CYP51A1	9.768804949527842e-10
IFNA21	9.765625e-10
UGDH	9.765625e-10
DCAF8	9.764353599791693e-10
CARD6	9.763241396143519e-10
DYNC1H1	9.762900976290098e-10
TOMM34	9.760858955588092e-10
SLCO2B1	9.757684176288829e-10
OR8G2	9.756097560975609e-10
NRP2	9.755463059313216e-10
C10orf76	9.75371860521824e-10
C17orf62	9.75173702815814e-10
F12	9.751340809361287e-10
HUS1B	9.746588693957114e-10
STX12	9.74342318934719e-10
CNKSR2	9.742790335151988e-10
TARP	9.737098344693282e-10
ZSCAN1	9.737098344693282e-10
TCF7	9.734991887506761e-10
NR2E3	9.734728644439036e-10
MATN2	9.732360097323602e-10
SLFN11	9.731034214316298e-10
WDR25	9.729992702505473e-10
MAPRE3	9.729992702505473e-10
PPIB	9.727626459143968e-10
IFI30	9.727626459143968e-10
ECE1	9.727626459143968e-10
OR2H1	9.726575164811412e-10
USP34	9.725906277630416e-10
ANKRD53	9.725261366399222e-10
INTS6	9.724079251245899e-10
MPP1	9.720534629404617e-10
BAHCC1	9.719117504130625e-11
OR4C13	9.718172983479104e-10
OR51F2	9.718172983479104e-10
UPK1B	9.718172983479104e-10
C10orf88	9.718172983479104e-10
BCL10	9.7165991902834e-10
FAM120A	9.714632665452338e-10
DMBT1	9.713116175807403e-10
TAPBP	9.712509712509712e-10
CDK5RAP2	9.70913062826166e-10
MRPS18C	9.708737864077669e-10
C1orf101	9.706643658326145e-10
POC5	9.70638194612958e-10
IQCG	9.704811969268095e-10
ALDH1L1	9.6e-10
U2AF2	9.6e-10
SARS2	9.699321047526674e-10
GFPT2	9.699321047526674e-10
B9D2	9.699321047526674e-10
LCK	9.697753353806368e-10
OCRL	9.697439875872769e-10
SNRNP200	9.696633882809253e-10
SIGLEC12	9.694619486185169e-10
LRP2BP	9.693679720822024e-10
LYN	9.693444807948624e-10
TM4SF19	9.693053311793214e-10
ZNF397	9.692270414344561e-10
PRC1	9.692009476631488e-10
RIOK2	9.691487643353255e-10
SLC30A3	9.691096305269533e-10
CCS	9.689922480620156e-10
PDZD7	9.689922480620156e-10
DBX1	9.689922480620156e-10
DNMT3B	9.687575684185033e-10
FOXP2	9.68640271219276e-10
PIP4K2C	9.68601178464767e-10
TYR	9.685230024213076e-10
TMEM99	9.685230024213076e-10
HCN4	9.684560044272275e-10
CCDC30	9.683666881859265e-10
PYGB	9.682885499878964e-10
TSPYL4	9.682885499878964e-10
KRT79	9.68054211035818e-10
IMP4	9.675858732462506e-10
FOXD4L1	9.675858732462506e-10
ACP2	9.674922600619197e-10
PLOD1	9.67273899725939e-10
MUM1	9.672349171805102e-10
LRP5	9.67117988394584e-10
LHX8	9.668842156151802e-10
CYP4A22	9.668842156151802e-10
OCA2	9.668063164679343e-10
AKT2	9.666972787471604e-10
TIMELESS	9.666817039376168e-10
FIG4	9.66183574879227e-10
RAP1B	9.66183574879227e-10
FNDC3A	9.660669001328342e-10
SMC1B	9.659502535619415e-10
ZNF362	9.658725048293626e-10
FOXP1	9.657343157593533e-10
PRKDC	9.657170449058425e-10
FAM162B	9.652509652509654e-10
SPNS1	9.649715333397666e-10
NEURL4	9.64506172839506e-10
TRIM68	9.644751647645073e-10
SOX3	9.643201542912247e-10
